No,FIFA_Rank,Player,Abbr,Country,Confederation,Pos,Passes_Att,Passes_Cmp,Cmp_pct
339,686,Donyell Malen,NED,Netherlands,UEFA,FW,34,27,79.41
340,686,Ibrahima Konate,FRA,France,UEFA,DF,34,32,94.12
341,696,Jordy Alcivar,ECU,Ecuador,CONMEBOL,MF,33,31,93.94
342,702,Damian Bobadilla,PAR,Paraguay,CONMEBOL,MF,32,24,75.0
343,702,Marko Arnautovic,AUT,Austria,UEFA,FW,32,25,78.12
344,707,Gavi,ESP,Spain,UEFA,MF,31,29,93.55
345,707,Deniz Undav,GER,Germany,UEFA,FW,31,23,74.19
346,707,Marco Friedl,AUT,Austria,UEFA,DF,31,30,96.77
347,714,Ardon Jashari,SUI,Switzerland,UEFA,MF,30,25,83.33
348,714,Waldemar Anton,GER,Germany,UEFA,DF,30,29,96.67
349,714,Carney Chukwuemeka,AUT,Austria,UEFA,MF,30,25,83.33
350,714,Leon Goretzka,GER,Germany,UEFA,MF,30,23,76.67
351,714,Egil Selvik,NOR,Norway,UEFA,GK,30,19,63.33
352,714,Danilo Santos,BRA,Brazil,CONMEBOL,MF,30,23,76.67
353,726,Federico Vinas,URU,Uruguay,CONMEBOL,FW,29,18,62.07
354,726,Matias Vina,URU,Uruguay,CONMEBOL,DF,29,23,79.31
355,726,Yeremy Pino,ESP,Spain,UEFA,FW,29,25,86.21
